sample_No.,TOTAL.g.wet,TOTAL.g.dry,L_Total,BIFIDO.g.wet,BIFIDO.g.dry,L.Bif,BACTER.g.wet,BACTER.g.dry,L.Bacter,COCC.g.wet,COCC.g.dry,L.Cocc,LEPTUM.g.wet,LEPTUM.g.dry,L.Leptum,FPRAUS.g.wet,FPRAUS.g.dry,L.Fprau,ECOLI.g.wet,ECOLI.g.dry,L.Ecoli,pH,C2,C3,iC4,C4,iC5,C5,iC6,C6,C7,C8,Total.SCFAs,X.C2,X.C3,X.iC4,X.C4,X.iC5,X.C5,X.iC6,X.C6,X.C7,X.C8,C2wet,C3wet,iC4wet,C4wet,iC5wet,C5wet,iC6wet,C6wet,C7wet,C8wet,Total.SCFAswet,D.Lactate,L.Lactate,Total.Lactate,X.D.Lactate,X.L.Lactate,D.LactateWet,L.LactateWet,Moisture_original
sample_1,14981493429,81649139200,10.91,1481171238,8072383248,9.91,357079161.9,1946081433,9.29,3297011940,17968715078,10.25,165408946.5,901478758.3,8.95,80000519.36,436002830.6,8.64,1896418.76,10335482.25,7.01,7.09,484.1605835,51.09901428,5.946573257,55.70960999,6.362189293,10.62430191,0,0,0,0,613.9022722,78.86606801,8.323639868,0.968651449,9.07467076,1.036352133,1.730617786,0,0,0,0,88.8368043,9.375965921,1.091114359,10.22194679,1.167374182,1.949413194,0,0,0,0,112.6426187,79.58869448,105.272878,184.8615725,43.05313073,56.94686926,14.60343018,19.3161244,81.65137615
sample_2,97584375787,5.23E+11,11.72,5892167682,31554841292,10.5,217062057.6,1162451435,9.07,60150592586,3.22E+11,11.51,379807506.5,2034016382,9.31,108552914,581342921.3,8.76,248150.02,1328939.52,6.12,8.42,288.9685822,35.56918335,6.495170594,12.93605423,8.555140256,10.78469134,2.172710657,4.22243309,2.13918519,2.649056942,374.4922078,77.16277567,9.49797689,1.734394056,3.454291961,2.284464156,2.879817286,0.580175131,1.127508931,0.571222884,0.707373047,65.4469942,8.055879704,1.471057473,2.929819774,1.937609309,2.44256876,0.492085959,0.956316953,0.48449295,0.599971156,84.81679623,30.74737897,41.42907408,72.17645306,42.60029091,57.39970908,6.963814259,9.383055938,77.35151908
sample_3,51286558506,2.78E+11,11.44,1224584174,6629173545,9.82,82114812.37,444520967.5,8.65,37458792478,2.03E+11,11.31,295190479.8,1597986452,9.2,44183231.82,239181852.7,8.38,52388,283597.59,5.45,8.01,393.1926575,49.94081306,6.682805062,20.24266815,8.604605198,11.7380209,0,1.611910165,0,0.68269521,492.6961752,79.80428452,10.13622909,1.356374455,4.108549887,1.746432311,2.382405524,0,0.327161087,0,0.138563124,78.01680863,9.909195354,1.325994048,4.016525581,1.707315292,2.329043823,0,0.319833253,0,0.135459553,97.76017552,37.6025314,51.57016571,89.17269711,42.16821137,57.83178863,7.461048522,10.23248952,80.15812169
sample_4,60973212504,2.59E+11,11.41,1623241610,6893766839,9.84,576060281,2446478230,9.39,15764941999,66952346268,10.83,4245718577,18031199884,10.26,1570601453,6670208642,9.82,8345641.99,35443220.29,7.55,7.8,350.1531678,36.66360474,6.351591587,49.59095764,9.270389557,7.007544041,0,0.707670212,0,0.394627571,460.1395531,76.09716779,7.967931575,1.380362011,10.77737337,2.014690868,1.522917122,0,0.153794693,0,0.085762584,82.89736974,8.679962593,1.503714045,11.74046197,2.194727855,1.659008179,0,0.167538108,0,0.093426508,108.936209,43.187368,58.66322732,101.8505953,42.40266625,57.59733377,10.2244376,13.88828574,76.32539775
sample_5,1.08E+11,7.19E+11,11.86,3995582189,26569262518,10.42,425170322.4,2827238028,9.45,36790288861,2.45E+11,11.39,7535883245,50111060356,10.7,3255639143,21648892941,10.34,38901833.66,258683961.9,8.41,6.96,491.6318359,94.8400383,5.708049536,111.361332,7.425021649,13.94573879,0,2.654903055,0,0.718811572,728.2857308,67.50535059,13.02236668,0.783765121,15.29088478,1.019520407,1.914871897,0,0.364541408,0,0.098699115,82.23031845,15.86294048,0.954728105,18.62629131,1.241908782,2.332563634,0,0.444058964,0,0.120228391,121.8130381,90.4945182,108.9332099,199.4277281,45.37709929,54.62290071,15.13610899,18.22016372,83.27400456
sample_6,1.59E+11,7.15E+11,11.85,50017053386,2.25E+11,11.35,65306958.7,293491654.5,8.47,13394929233,60197259535,10.78,17755773962,79795041457,10.9,3184208237,14309938209,10.16,7535755.54,33865937.19,7.53,6.59,352.1648102,40.78678513,4.010569811,92.33198548,5.572604656,8.160789013,0,0,0.580028951,0,503.6075732,69.92841826,8.098922117,0.79636805,18.33411378,1.106537104,1.620465904,0,0,0.115174787,0,91.40283686,10.58603176,1.040925861,23.96436317,1.446345176,2.11809711,0,0,0.150543978,0,130.7091439,36.35148884,47.66368106,84.0151699,43.26776805,56.73223195,9.434870003,12.37090004,74.04543719
sample_12,1.43E+11,1.68E+12,12.23,11847408725,1.39E+11,11.14,18118694399,2.13E+11,11.33,13910029542,1.63E+11,11.21,30018081550,3.52E+11,11.55,12194960985,1.43E+11,11.16,414392419.1,4863246880,9.69,7.16,203.4009323,52.3150177,8.100402355,60.57790184,12.7204175,10.24995232,0,0.666186273,0,0.706128896,348.7369392,58.32503226,15.00128372,2.322783005,17.37065823,3.647568144,2.9391645,0,0.191028308,0,0.202481818,72.92300091,18.75590264,2.904144252,21.71829962,4.560505237,3.67479772,0,0.238840116,0,0.253160286,125.0286508,21.67806987,33.83125835,55.50932822,39.05302147,60.94697853,7.771989494,12.12913262,64.14814815
sample_13,36711729535,1.07E+11,11.03,8128991940,23629689815,10.37,227246368,660569136.6,8.82,6419655101,18660918831,10.27,5812525114,16896088286,10.23,1193051556,3468011582,9.54,12632444.15,36720510.86,7.56,7.27,215.4225998,33.55216408,7.924305201,46.42173958,14.68292141,0.537875891,0,0.972121597,1.599203825,1.631340862,322.7442722,66.74714886,10.39589761,2.455289182,14.38344335,4.549397981,0.16665699,0,0.301204911,0.495501845,0.505459276,74.26998262,11.56758226,2.732016093,16.0045501,5.06214445,0.185440307,0,0.335152645,0.551348096,0.562427793,111.2706443,6.730258027,23.00811531,29.73837334,22.63156074,77.36843924,2.320351473,7.932372582,65.5235882
sample_14,44450198275,2.09E+11,11.32,3593715302,16902780170,10.23,471764004.9,2218907898,9.35,2109193242,9920437960,10,827139825.1,3890392381,9.59,17447654.82,82063783.32,7.91,26400445.13,124172585.4,8.09,7.8,233.6421127,45.31492043,12.38247872,30.23554993,15.45010901,15.56083393,0.466340602,2.112844825,0.941598594,1.057981193,357.1647699,65.41577792,12.68739927,3.466881327,8.465434576,4.325765111,4.356766188,0.130567357,0.591560255,0.263631431,0.296216559,58.70667649,11.38616811,3.11131484,7.59721194,3.882110725,3.909932302,0.117176251,0.5308893,0.236593153,0.265836321,89.74390943,19.12446347,41.33898019,60.46344366,31.62979531,68.37020469,4.805356693,10.38714343,74.87324703
sample_15,25823050296,75503616877,10.88,3758520170,10989478921,10.04,189258933.7,553371265.6,8.74,7690714508,22486761056,10.35,1289956872,3771684924,9.58,19226461.46,56215952.92,7.75,36625503.91,107088743.7,8.03,7.88,145.5531159,24.64724064,8.301975728,21.19638348,11.76388121,10.26581144,1.326820672,2.826672316,2.004007697,1.06426841,228.9501774,63.57414419,10.76532934,3.626105828,9.258076894,5.138183922,4.483862629,0.579523758,1.234623335,0.875302967,0.464847165,54.3471687,9.202879216,3.099822856,7.914385218,4.392442118,3.833087205,0.495413282,1.055433518,0.748263915,0.397380533,85.48627653,11.08590842,32.48478474,43.57069317,25.44349794,74.55650204,4.139298093,12.12929085,62.66162468
sample_16,1.26E+11,4.54E+11,11.66,17351906603,62722875507,10.8,215650115.5,779522138.7,8.89,250097735,904041812.5,8.96,563251272.7,2036014846,9.31,14415808.26,52109601.97,7.72,11864939.71,42888839.45,7.63,7.57,191.0487519,36.58294869,8.450924874,21.69930554,11.98577786,10.92198754,0.958531738,0.850836456,0,1.12838769,283.6274522,67.35904808,12.89823972,2.979586358,7.650636553,4.225887784,3.85082172,0.3379545,0.299983817,0,0.397841493,53.6111723,10.26572928,2.371457468,6.089153666,3.363390735,3.064875065,0.268978518,0.238757591,0,0.31664267,79.59015726,20.23312121,42.09978763,62.33290883,32.4597738,67.54022621,5.677720145,11.81383781,71.93848598
sample_17,28758296501,84536978059,10.93,5196813054,15276387149,10.18,82514378.63,242556655.5,8.38,3354934199,9862058373,9.99,4388176178,12899343787,10.11,1925287435,5659513999,9.75,64114334.55,188468468.3,8.28,6.38,210.7275162,53.04131127,8.303964615,51.67925835,14.14182282,11.27189779,0,2.142138601,3.563273609,3.364338398,358.2355216,58.82373564,14.80626796,2.318018207,14.42605639,3.947632761,3.146504774,0,0.597969344,0.994673446,0.939141485,74.91897654,18.85753141,2.952270028,18.37328705,5.027776682,4.007445546,0,0.761584602,1.266834141,1.196107628,127.3618136,20.50587416,45.46636335,65.9722375,31.082581,68.91741901,7.29035834,16.1644453,64.44746377
sample_18,1.42E+11,4.22E+11,11.63,27786371645,82350901160,10.92,227158824.5,673234135.9,8.83,14691585288,43541679476,10.64,14671556652,43482320295,10.64,3188499257,9449804766,9.98,1281037.19,3796629.81,6.58,7.21,135.1586609,27.85281563,4.629822731,23.81560517,7.938740969,6.117399931,0,3.129524827,0.388042182,0.429795325,209.4604077,64.52706857,13.29741307,2.210356975,11.36997938,3.790091434,2.920551907,0,1.49408896,0.185258009,0.205191678,50.00917928,10.30563962,1.713050673,8.811857565,2.937362043,2.263459462,0,1.157935178,0.14357697,0.15902578,77.50108658,13.31923817,32.75817987,46.07741804,28.9062164,71.0937836,4.928164907,12.12064162,62.99964875
sample_19,46140643230,4.63E+11,11.67,11297581281,1.13E+11,11.05,704111079.1,7072083420,9.85,6149430588,61764808696,10.79,2467829649,24786852051,10.39,1120767088,11256971485,10.05,10785821.74,108332667,8.03,7.22,80.83797074,9.077631951,3.182298899,17.90944004,6.158552885,5.393612862,0,0.860047758,1.050580979,2.118386508,126.5885226,63.85884682,7.170975506,2.513892123,14.14775974,4.865016794,4.260743984,0,0.679404214,0.829918034,1.673442792,32.98380091,3.703888189,1.298453095,7.307474437,2.512835001,2.200721409,0,0.350919794,0.428661847,0.864351717,51.65110639,13.03411138,34.57977142,47.61388279,27.37460299,72.62539703,5.318225221,14.10936328,59.19763867
sample_22,3722550502,44248046233,10.65,134517.66,1598942.38,6.2,431724550.6,5131688037,9.71,167377,1989524.46,6.3,44778.33,532257.02,5.73,131841.7,1567134.63,6.2,5354805.72,63649825.88,7.8,7.49,474.3418427,10.62927151,0,2.485341072,0.977754116,0,0,0.703109622,0,0,489.137319,96.97518964,2.173064924,0,0.508107023,0.199893584,0,0,0.143744833,0,0,53.73585716,1.204137953,0,0.281552081,0.110764961,0,0,0.079651835,0,0,55.41196398,245.5835404,427.6480213,673.2315617,36.47831658,63.52168342,27.82095286,48.44614351,88.67149125
sample_25,62374550017,2.94E+11,11.47,9233563651,43458865771,10.64,28837.65,135727.85,5.13,10091311465,47495957895,10.68,6416197181,30198595320,10.48,2336208446,10995642972,10.04,85369614.08,401802244.5,8.6,7.17,206.8546753,29.00621796,9.930700779,65.36303711,14.53099823,0,0,3.129541636,0.679772139,1.687862039,331.1828052,62.45936445,8.758370756,2.998555669,19.73624116,4.387606483,0,0,0.944958973,0.205255867,0.50964664,51.58812872,7.233950616,2.476648252,16.30109045,3.623930695,0,0,0.78048609,0.169530481,0.420941146,82.59470646,33.62622587,55.87334569,89.49957155,37.57138195,62.42861806,8.386148711,13.93442689,75.06069
sample_26,24856417752,69458912823,10.84,2060820267,5758767682,9.76,36074213.28,100805983.4,8,2515300354,7028769380,9.85,2039074889,5698002276,9.76,109849852.2,306965041.6,8.49,653410389.7,1825893648,9.26,7.49,74.41610718,6.331120253,2.734786391,10.22698116,5.198633909,3.863849401,0,1.947287679,0,0.746912181,105.4656782,70.55954928,6.003014785,2.593058177,9.696975681,4.929218681,3.66360836,0,1.846370983,0,0.708204028,28.02087987,2.383940342,1.029765246,3.850900314,1.957510299,1.454906256,0,0.733237953,0,0.28124471,39.712385,16.69239977,34.66673641,51.35913618,32.50132501,67.49867499,6.28540979,13.0535242,62.34567901
sample_32,43922923886,1.35E+11,11.13,5804084425,17891489604,10.25,279701.25,862198.36,5.94,712533113,2196432348,9.34,5643521727,17396544039,10.24,5719986487,17632251922,10.25,3893723540,12002670729,10.08,7.08,99.41023636,6.716410875,4.276678085,14.86561918,5.947216272,0,0.64584738,0.705355287,0,1.240754664,133.8081181,74.29312793,5.019434523,3.196127519,11.10965418,4.444585543,0,0.482666814,0.527139382,0,0.927264116,36.34031651,2.455245113,1.563378591,5.434262365,2.174059027,0,0.236095387,0.257849044,0,0.453569158,48.9147752,24.27168051,34.02750634,58.29918685,41.63296578,58.36703422,8.872733678,12.43906459,63.44409002
sample_33,84815668849,3.02E+11,11.48,10723948723,38157305921,10.58,1001235.16,3562534.41,6.55,4124835813,14676741381,10.17,5042544708,17942077681,10.25,495403533.8,1762714899,9.25,509260006.2,1812018162,9.26,7.84,240.7430801,7.984381437,12.87665319,38.64488602,18.06383038,2.338741541,1.658236384,0,0,3.602589011,325.9123981,73.86742005,2.449855079,3.950955309,11.85744582,5.54254164,0.717598212,0.508798191,0,0,1.10538569,71.22177311,2.36211069,3.809447281,11.4327577,5.344029113,0.691896603,0.490574996,0,0,1.065795025,96.41838453,18.01892371,34.23197517,52.25089888,34.48538512,65.51461488,5.33074386,10.12723592,70.41585865
sample_34,55938825870,1.93E+11,11.29,5084363066,17522760816,10.24,164760.22,567830,5.75,5950521386,20507890887,10.31,907404348.1,3127280477,9.5,57274119.96,197389661.6,8.3,517887697.8,1784849378,9.25,8.12,175.6198349,5.498496294,9.944943905,25.45879269,13.41104364,0,1.390084922,0.767759085,0,2.562904239,234.6538597,74.84208234,2.343237099,4.238133529,10.84950945,5.715245282,0,0.592398064,0.327187921,0,1.0922063,54.11092553,1.694163553,3.064176204,7.84420983,4.132129973,0,0.428304592,0.236557304,0,0.789666614,72.3001336,18.92210012,31.08724561,50.00934574,37.83712792,62.16287206,5.830163495,9.578414835,69.18860244
sample_35,94429793874,2.99E+11,11.48,5563202346,17618130112,10.25,152281.56,482261.14,5.68,7625061094,24147839698,10.38,3966740543,12562288168,10.1,51457721.62,162961686.2,8.21,396745577.6,1256455324,9.1,8.07,178.5241623,5.747572184,8.760238647,20.85209751,12.60660744,9.536603451,0,0.910876334,0,1.66990754,238.6080654,74.81899742,2.408792081,3.671392513,8.739058119,5.283395352,3.996764919,0,0.381745827,0,0.69985377,54.83329349,1.765353823,2.690687527,6.404674683,3.87209102,2.929146224,0,0.27977361,0,0.512908332,73.2879287,11.14750914,21.4011156,32.54862474,34.24878694,65.75121306,3.42393227,6.57330435,69.28522572
sample_36,14781348236,83250013152,10.92,2299125367,12948901143,10.11,36211358.19,203945945.7,8.31,1136517428,6400978403,9.81,1598744104,9004284697,9.95,310746406.3,1750154451,9.24,84962847.14,478519146.5,8.68,7.31,237.112236,44.97152519,8.615707874,70.42831802,15.92058897,0,0,1.459268868,0,0.513128996,379.0207739,62.55916623,11.86518742,2.273149248,18.58165116,4.200452868,0,0,0.38501026,0,0.135382816,49.48429274,9.38536178,1.798060774,14.69808376,3.322557699,0,0,0.304543068,0,0.10708779,79.09998761,50.62906576,70.41739883,121.0464646,41.82614166,58.17385833,10.5660659,14.69580498,79.13043478
sample_40,20212499637,3.78E+11,11.58,79738.65,1490564.31,6.17,11608.03,216990.23,5.34,92762.67,1734023.93,6.24,87077.12,1627743.17,6.21,85305.13,1594619.14,6.2,10713785751,2.00E+11,11.3,7.02,242.7827835,46.30025291,0,23.8572216,0,0,0,1.824102223,1.504660368,0,316.2690206,76.76464266,14.6395157,0,7.543331799,0,0,0,0.576756528,0.475753321,0,26.03801613,4.96561871,0,2.558644035,0,0,0,0.195631677,0.161372114,0,33.91928267,146.7117351,190.8785781,337.5903132,43.45851447,56.54148553,15.73456927,20.47138361,89.27518016
sample_41,6276294142,1.06E+11,11.02,16799902.92,283471779.6,8.45,27380.18,461997.24,5.66,33061.07,557853.28,5.75,79774.64,1346070.83,6.13,100644.54,1698217.43,6.23,2707278759,45681045382,10.66,6.96,379.6845703,59.66314125,0,31.90677834,0,0,0,1.30119276,0,0.497127771,473.0528104,80.26261803,12.61236376,0,6.744866034,0,0,0,0.275062896,0,0.105089276,45.92116169,7.215991827,0,3.858983066,0,0,0,0.157373483,0,0.060125395,57.21363546,162.3709057,210.4777664,372.848672,43.54874186,56.45125817,19.63803957,25.45635061,87.90544434
sample_43,1.01E+11,2.35E+11,11.37,10997958543,25631924407,10.41,8571728635,19977334844,10.3,5121537824,11936294345,10.08,3718810485,8667087520,9.94,2061380039,4804267730,9.68,4634439846,10801060155,10.03,7.38,114.6009445,12.90423822,4.683350086,4.820460558,8.792021275,3.89372921,0,1.326696515,0,2.339654446,153.3610948,74.726217,8.414284104,3.05380585,3.143209536,5.73288896,2.538928934,0,0.865080232,0,1.525585383,56.1224543,6.319472522,2.293533464,2.3606793,4.305634778,1.906839779,0,0.649710741,0,1.145777204,75.10410208,8.552654687,26.01751343,34.57016811,24.73998582,75.2600142,4.188412006,12.74131479,51.0279304
sample_45,31866262655,3.53E+11,11.55,301301.57,3338470.94,6.52,169781847.6,1881210760,9.27,5253282938,58207237864,10.76,342018013.6,3789615770,9.58,194684060.2,2157131366,9.33,1074979251,11910946681,10.08,6.88,367.5675964,70.48160172,12.77083826,63.10092735,18.52962017,0,0,0.863149285,0,0,533.3137332,68.92145721,13.215786,2.394620177,11.8318587,3.474431468,0,0,0.161846439,0,0,55.47445544,10.63730457,1.927414998,9.523390029,2.796548441,0,0,0.1302692,0,0,80.48938269,123.8801481,176.700911,300.5810592,41.21355764,58.78644232,18.69638081,26.66825615,84.9076861
sample_47,68148128204,3.26E+11,11.51,206915.99,990323.98,6,391977590.8,1876050345,9.27,1181906862,5656743723,9.75,873508451.6,4180713058,9.62,64891153.52,310576609.1,8.49,1080649339,5172113438,9.71,8,206.5987167,31.00110626,9.636116028,18.28807545,12.87568283,1.320756495,0,1.772262096,0,0.895356447,282.3880723,73.16127591,10.97819253,3.412366517,6.476220931,4.559570354,0.467709732,0,0.627598072,0,0.317065958,51.79702962,7.77238719,2.415901682,4.585062293,3.228103908,0.331131114,0,0.444329538,0,0.224477698,70.79842304,18.48981256,29.88391376,48.37372632,38.22284113,61.77715887,4.635640453,7.49229226,74.92867795
sample_48,63572761295,3.71E+11,11.57,625324.06,3647723.68,6.56,771141193.4,4498323628,9.65,3002880398,17516802323,10.24,1397127494,8149910382,9.91,105213004.5,613742526.3,8.79,893271476.4,5210750279,9.72,8.16,194.2503433,25.47709942,11.12086535,13.98988056,14.2479558,0,0,1.548065245,0,1.240865409,261.8750751,74.1767208,9.728722525,4.24662994,5.342196296,5.440745284,0,0,0.591146463,0,0.473838684,44.25329186,5.804085065,2.533508522,3.187115436,3.245909046,0,0,0.352673678,0,0.282688711,59.65927232,28.67612777,39.81462769,68.49075546,41.8686107,58.1313893,6.532874177,9.070400132,77.21842283
sample_49,13088423967,46388462425,10.67,65821806.12,233288009.9,8.37,80666175.84,285899958.3,8.46,694778013.3,2462457195,9.39,1383131971,4902146020,9.69,473671613.7,1678803950,9.22,2989544444,10595650817,10.03,7.68,139.5703583,48.04466438,7.955830812,25.1767931,13.4995575,0,0,1.818127096,0.802029788,1.124501586,237.9918625,58.64501283,20.18752401,3.342900353,10.5788462,5.672276922,0,0,0.763945068,0.336998828,0.472495813,43.43262367,14.95092406,2.475759251,7.834716435,4.200900591,0,0,0.565779374,0.249582063,0.349931424,74.06021685,33.09161284,44.61973664,77.71134949,42.58272834,57.41727165,10.29771353,13.88512757,68.88119784
sample_50,49199956565,1.54E+11,11.19,3884714502,12169031482,10.09,101027764.7,316473719.9,8.5,2472531733,7745309592,9.89,10818575384,33889642176,10.53,1579312577,4947263039,9.69,1110858.62,3479811.32,6.54,7.34,119.3945427,20.07470226,4.953783989,20.77056122,8.083620548,4.897680998,0,3.209994197,0,1.920956373,183.3058423,65.13406294,10.95147979,2.702469232,11.33109614,4.409908843,2.671863012,0,1.751168515,0,1.047951527,43.06917518,7.241544285,1.786977743,7.492561381,2.916003208,1.76673972,0,1.157940717,0,0.692946299,66.12388854,23.14913955,32.8210238,55.97016334,41.35978559,58.64021443,8.35058558,11.83952291,63.92701525
sample_51,54725825705,1.90E+11,11.28,1593062332,5518823078,9.74,3906219115,13532259076,10.13,4749136131,16452364455,10.22,20980212248,72681449574,10.86,859775545.8,2978508141,9.47,453671260.7,1571646867,9.2,7.15,69.236763,21.87422943,4.426262379,14.8124361,7.599580288,6.575735331,0,1.472634077,1.764776766,0.940558016,128.7029754,53.79577495,16.99590034,3.439129799,11.50900829,5.904743278,5.109233342,0,1.144211369,1.371201218,0.730797414,22.69651299,7.170594216,1.450973691,4.855666755,2.49121948,2.155592721,0,0.482744383,0.578511719,0.308324455,42.19014041,15.7907193,31.31821195,47.10893125,33.51958722,66.48041278,5.176357908,10.26642745,67.21898598
sample_52,18000135574,65217610205,10.81,27634555.92,100124784.5,8,33261340.4,120511599.7,8.08,2734235394,9906608616,10,322164885,1167259202,9.07,75157092.87,272307170.5,8.44,35715.42,129403.17,5.11,7.96,95.34903336,22.47136879,6.731296062,18.07309818,10.06005812,6.865778923,0,1.483460665,0.857587695,1.294207633,163.1858894,58.42970474,13.77041169,4.124925314,11.0751599,6.164784316,4.207336153,0,0.90906185,0.525528094,0.793087955,29.01003478,6.836935491,2.048003278,5.498757443,3.060782325,2.088919817,0,0.451344329,0.260921878,0.393763913,49.64946325,13.87780252,30.47328345,44.35108597,31.29078402,68.70921598,4.222334717,9.271525695,69.57490416
