sample_No.,TOTAL.g.wet,TOTAL.g.dry,L_Total,BIFIDO.g.wet,BIFIDO.g.dry,L.Bif,BACTER.g.wet,BACTER.g.dry,L.Bacter,COCC.g.wet,COCC.g.dry,L.Cocc,LEPTUM.g.wet,LEPTUM.g.dry,L.Leptum,FPRAUS.g.wet,FPRAUS.g.dry,L.Fprau,ECOLI.g.wet,ECOLI.g.dry,L.Ecoli,pH,C2,C3,iC4,C4,iC5,C5,iC6,C6,C7,C8,Total.SCFAs,X.C2,X.C3,X.iC4,X.C4,X.iC5,X.C5,X.iC6,X.C6,X.C7,X.C8,C2wet,C3wet,iC4wet,C4wet,iC5wet,C5wet,iC6wet,C6wet,C7wet,C8wet,Total.SCFAswet,D.Lactate,L.Lactate,Total.Lactate,X.D.Lactate,X.L.Lactate,D.LactateWet,L.LactateWet,Moisture_original
sample_53,21349218000,86416851112,10.94,21857931.38,88476008.89,7.95,620454681.2,2511461535,9.4,3220687217,13036620251,10.12,998707518.1,4042544270,9.61,310331259.9,1256151409,9.1,161420.22,653392.89,5.82,7.78,124.9461632,33.85360718,7.091120958,19.51172924,10.12411547,6.522169352,0,1.153729975,0.43805632,1.116000056,204.7566917,61.0217728,16.53357792,3.463193754,9.529226652,4.944461342,3.185326593,0,0.563463868,0.213939929,0.545037159,37.54861372,10.17362988,2.131011908,5.863632507,3.042482388,1.960031515,0,0.346717018,0.131643959,0.335378486,61.53314136,12.91475504,20.89159156,33.8063466,38.20216125,61.79783875,3.881120763,6.278306443,69.94816587
sample_54,25048019187,96835364378,10.99,39892729.69,154224850.6,8.19,229558262.1,887469695.2,8.95,4718806784,18242854692,10.26,1058633742,4092666305,9.61,168852163.1,652780589.8,8.81,93049.21,359727.21,5.56,7.87,112.3225098,26.87541485,6.373655081,16.48348808,9.43290329,6.022690535,0,0.662102163,0,0.501822114,178.6745859,62.86428998,15.0415431,3.56718615,9.225423975,5.279376047,3.370759476,0,0.370563144,0,0.280858137,33.65348476,8.052271674,1.909641304,4.938696757,2.826237302,1.804487137,0,0.198375598,0,0.150353325,53.53354785,17.91585396,28.1120691,46.02792306,38.92388092,61.07611908,5.367854754,8.422791573,70.03852138
sample_55,89430876908,2.92E+11,11.47,902782718.4,2952657912,9.47,16074107259,52572273482,10.72,5482276300,17930434601,10.25,17109753108,55959476015,10.75,14311389675,46807096642,10.67,353926577.9,1157558833,9.06,6.97,106.9225922,47.1854248,7.238023281,30.96122646,12.84436464,10.60073566,0,1.704414308,1.008568048,0.469328821,218.9346782,48.83766842,21.55228454,3.306019558,14.14176444,5.866756582,4.841962795,0,0.77850358,0.460670761,0.214369338,36.66514424,16.18049442,2.4820121,10.61700629,4.404499297,3.635129808,0,0.584465782,0.34585107,0.160938942,75.07554194,25.99156325,36.57097093,62.56253418,41.54493355,58.45506645,8.912844292,12.54066046,65.70870245
sample_56,58785978195,2.80E+11,11.45,10773624906,51283177616,10.71,732079653.4,3484748283,9.54,9201930655,43801807498,10.64,5590716802,26612187195,10.43,304284687.5,1448415534,9.16,691841871.1,3293213739,9.52,6.99,188.0576554,39.55377007,10.51475096,36.16855049,13.25175381,0,1.661726654,0.49798277,0,2.332939387,292.0391295,64.39467743,13.5439967,3.60045963,12.38483026,4.537663781,0,0.56900822,0.170519194,0,0.798844795,44.08172661,9.271616595,2.464714219,8.478102905,3.106282418,0,0.389517672,0.116729842,0,0.546853549,68.4555438,25.90468364,47.7210495,73.62573314,35.18427938,64.81572062,6.072197272,11.18607085,76.55946177
sample_57,22072585557,1.62E+11,11.21,2973584086,21820342800,10.34,270937398.3,1988155282,9.3,4109268909,30154067830,10.48,950493786,6974781824,9.84,263978100.3,1937087526,9.29,19980713.33,146619702.5,8.17,7.36,235.3119354,33.54804421,5.462434173,35.24767685,5.551496387,6.765545607,2.410165549,3.596031428,2.158963919,2.570176274,332.6224698,70.74444957,10.08592241,1.642232461,10.59690191,1.669008227,2.034001374,0.724594929,1.081115004,0.649073383,0.772700736,49.77664237,7.096575853,1.155494437,7.456107154,1.174334187,1.431147738,0.509833674,0.760685471,0.45669581,0.543681497,70.36119819,36.43560828,97.46581449,133.9014228,27.21077007,72.78922991,7.707395886,20.61740295,78.84652885
sample_58,79261720789,4.39E+11,11.64,8767052332,48569386370,10.69,632886089.4,3506182904,9.54,23769520988,1.32E+11,11.12,2797147846,15496172411,10.19,135424487.6,750250370.7,8.88,2409805.25,13350298.1,7.13,7.89,149.6560822,27.38005162,9.3279109,22.91733647,9.86234665,7.116875172,2.815598726,1.258719385,0,0.280418039,230.6153391,64.89424458,11.87260645,4.044792049,9.937472743,4.276535415,3.086037208,1.22090696,0.545809047,0,0.121595571,33.34483127,6.100541909,2.078349309,5.106205551,2.197426794,1.585709036,0.627342792,0.280454926,0,0.062479868,51.38334144,33.14677056,51.5442526,84.69102316,39.13846984,60.86153016,7.385422999,11.484561,77.719027
sample_59,14767246365,54580900779,10.74,3699607796,13674040579,10.14,80736215.63,298407385.2,8.47,1960248516,7245232261,9.86,781721991.6,2889305793,9.46,284886391.9,1052962448,9.02,240253324.9,887995132.4,8.95,6.85,123.3699151,28.91470719,7.274556876,22.35682392,9.494796753,7.241104365,1.567144335,1.41682142,0,1.869583607,203.5054535,60.62241231,14.20832056,3.574625029,10.98585986,4.665622758,3.558186889,0.770074859,0.696208085,0,0.918689683,38.44108996,9.009594109,2.266694397,6.96620954,2.958503585,2.256270859,0.488309782,0.441470351,0,0.582547468,63.41069003,28.11224539,47.70459628,75.81684168,37.07915651,62.92084347,8.759553358,14.86437496,68.84079078
sample_60,14903097190,64982874234,10.81,5742893851,25041086700,10.4,154129005.4,672058005.6,8.83,665295358.1,2900927507,9.46,2289115533,9981368630,10,469741765.2,2048243373,9.31,5169344.56,22540205.1,7.35,6.98,110.5960808,35.23378372,6.013032437,15.32936573,9.077256203,5.826053143,0.354645878,0.558781564,0,1.504006327,184.4930058,59.94594772,19.09762572,3.259219726,8.308914296,4.920108578,3.157872093,0.192227275,0.302874118,0,0.815210485,30.18964457,9.617839979,1.6413901,4.184489175,2.4778377,1.590349969,0.096808431,0.152531778,0,0.410551767,50.36144347,41.58869174,64.41071266,105.9994044,39.2348353,60.7651647,11.35255257,17.58232758,72.70278987
sample_61,1.74E+11,6.67E+11,11.82,6378133680,24401108625,10.39,2839730442,10864082576,10.04,13906862549,53204100244,10.73,30398172279,1.16E+11,11.07,13310599078,50922948662,10.71,353994970.2,1354294242,9.13,7.39,103.9982834,24.23911,3.48675859,38.39101982,5.77779603,6.669431925,0,5.255325794,0.678130389,1.517077029,190.012933,54.7322131,12.756558,1.835011194,20.20442463,3.040738301,3.50998841,0,2.765772683,0.356886438,0.798407248,29.68756963,6.919347536,0.995337471,10.9591816,1.649341858,1.903870124,0,1.500196401,0.193580533,0.433068013,54.24149318,38.15306161,61.48608304,99.63914465,38.29123759,61.70876241,10.89125355,17.55194713,71.45378879
sample_62,1.23E+11,4.67E+11,11.67,1521834177,5782439618,9.76,38503174966,1.46E+11,11.17,3467614879,13175728313,10.12,14092692754,53547322119,10.73,13916150701,52876523831,10.72,3950000950,15008627303,10.18,6.5,208.7651215,56.25233841,15.37773561,61.3077755,22.27658749,2.225089431,3.411682725,0.55336076,0,0,370.1696914,56.39714065,15.19636527,4.154239521,16.56207327,6.017939341,0.601099842,0.921653718,0.149488403,0,0,62.94382347,16.96038703,4.63647121,18.4846289,6.716512703,0.670876607,1.028640961,0.166841289,0,0,111.6081822,14.47167197,26.20262469,40.67429666,35.57940311,64.42059689,4.363288078,7.900234345,69.84945425
sample_63,1.14E+11,4.18E+11,11.62,875810643.7,3216948171,9.51,18936936951,69557438164,10.84,5148271260,18910162756,10.28,4495167038,16511239600,10.22,2214759313,8135052905,9.91,2584880513,9494548505,9.98,6.84,274.6976471,80.86665344,20.1551218,65.93457222,30.40031242,0.911563277,0,1.530556142,1.602546632,0.616093874,476.7150669,57.62302603,16.96330975,4.227917933,13.83102335,6.377040403,0.191217635,0,0.321063094,0.33616446,0.12923734,86.48834929,25.46080552,6.345825065,20.75945088,9.57151569,0.287005018,0,0.48189446,0.504560612,0.193976697,150.0933832,14.26728572,22.33450281,36.60178853,38.97975015,61.02024985,4.492044267,7.03200155,68.51507459
sample_64,49574579866,1.70E+11,11.23,6694904341,22905119533,10.36,41455469.93,141830629,8.15,7943015486,27175252981,10.43,398552074.2,1363556884,9.13,59127044.22,202289972.6,8.31,389324880,1331988100,9.12,7.18,181.9900208,45.18835831,12.32022476,42.14333344,20.66989803,0,0,0.501070976,0,0,302.8129063,60.09982303,14.92286404,4.068593018,13.91728442,6.825963361,0,0,0.165472133,0,0,61.93415332,15.37833063,4.192772141,14.34205932,7.034301266,0,0,0.170522573,0,0,103.0521392,11.9736675,22.88699533,34.86066283,34.34721697,65.65278303,4.07483309,7.788815406,65.96837945
sample_65,62026517195,2.67E+11,11.43,1310604486,5632057117,9.75,274612635.8,1180092138,9.07,6518408964,28011541222,10.45,731586488.1,3143844638,9.5,51126992.73,219707887.7,8.34,302174629.9,1298534220,9.11,8.03,157.6390305,35.24596596,8.796682835,19.48589706,13.41194248,0.403030276,0,1.247498333,0,0.470028341,236.7000757,66.59863966,14.89055964,3.716383616,8.232315517,5.666218078,0.170270447,0,0.527037573,0,0.198575492,44.02822899,9.844119539,2.456893861,5.44236751,3.745925567,0.112565456,0,0.348423497,0,0.131277865,66.10980226,14.55650553,28.25566266,42.81216819,34.00086038,65.99913962,4.065599469,7.891743446,72.07022344
sample_66,1.62E+11,7.45E+11,11.87,8100374409,37194402095,10.57,37367405483,1.72E+11,11.23,9633867619,44235726385,10.65,42034708437,1.93E+11,11.29,33398899952,1.53E+11,11.19,3077847665,14132520036,10.15,6.06,292.2453766,55.81817055,7.274651527,90.60844803,11.38043594,0.607173026,0,0.514546752,0.473397076,0,458.9221995,63.68081059,12.16288308,1.585160085,19.74374919,2.479818138,0.13230413,0,0.112120693,0.103154103,0,74.8843313,14.30272884,1.864041174,23.21731526,2.916098606,0.15558072,0,0.131846361,0.121302256,0,117.5932445,25.59416321,36.94372594,62.53788915,40.9258508,59.0741492,6.558193732,9.466381453,74.37621352
sample_67,1.04E+11,3.38E+11,11.53,26533509636,86120708751,10.94,70380480.68,228436304.2,8.36,13443294312,43633354575,10.64,3847640342,12488416262,10.1,292013936.4,947799500,8.98,323441218.7,1049804092,9.02,7.67,131.0732117,14.02655172,4.373957634,10.73928976,7.8406775,4.006100774,0,0.592055798,0,1.618511498,174.2703564,75.2125688,8.048730729,2.509868991,6.162430596,4.499145847,2.298784978,0,0.339734083,0,0.928735978,48.20297744,5.158350416,1.608549744,3.94943967,2.883457235,1.473268128,0,0.217732151,0,0.595217529,64.08899231,14.99763182,27.27839678,42.2760286,35.47549833,64.52450167,5.515471078,10.03179771,63.22438673
sample_70,20238583844,1.73E+11,11.24,133128725.6,1138050335,9.06,21709686726,1.86E+11,11.27,38290.67,327327.64,5.51,18959.91,162078.67,5.21,133208.08,1138728.72,6.06,4992961344,42682308457,10.63,6.61,310.2993317,44.08870316,7.851013422,9.718360901,6.117797613,0,4.756228209,0,0,0,382.831435,81.05377546,11.51647935,2.050775539,2.538548304,1.598039517,0,1.242381835,0,0,0,45.82865452,6.511538179,1.159529992,1.435321829,0.903548299,0,0.702455717,0,0,0,56.54104853,87.60317655,308.7699244,396.373101,22.10119111,77.89880888,12.93826735,45.60277366,85.23082397
sample_71,18529539024,63857998123,10.81,2496881389,8604954868,9.93,8059147.77,27774087.76,7.44,2568607180,8852142100,9.95,132934501.4,458129645.3,8.66,10621389.01,36604291.03,7.56,60928367.01,209976273.1,8.32,7.07,154.9012222,46.94648743,8.106079102,28.30668163,13.62980652,0,0,0,0.496663272,3.934011817,256.320952,60.43252453,18.31550915,3.162472298,11.04345213,5.317476551,0,0,0,0.193766163,1.53479916,50.23120854,15.22375851,2.628630969,9.179261518,4.419859598,0,0,0,0.161057453,1.275717294,83.11949389,30.60635452,44.7639805,75.37033502,40.6079587,59.3920413,9.92499707,14.51601742,67.57210316
sample_72,1.45E+11,4.14E+11,11.62,7678534885,21838291568,10.34,2333657812,6637086433,9.82,28088263804,79884991572,10.9,8676792690,24677406755,10.39,4344473196,12355986368,10.09,67888.57,193079.87,5.29,7.15,117.0275116,37.26576424,7.364085674,32.7857132,13.13257694,8.105986357,0,0,0,2.402838111,218.0844761,53.66155065,17.08776567,3.376712458,15.03349242,6.021784391,3.716902047,0,0,0,1.101792367,43.62617852,13.89214264,2.745225562,12.22204384,4.895636404,3.0217955,0,0,0,0.895743599,81.29876606,23.94667443,34.83441092,58.78108535,40.73874153,59.26125847,8.926976909,12.98576898,62.72143368
sample_73,1.52E+11,4.25E+11,11.63,41891190191,1.17E+11,11.07,5519188415,15449392411,10.19,8948613990,25049090314,10.4,15593989210,43650921194,10.64,14100984905,39471681851,10.6,29916.3,83742.15,4.92,6.89,161.0130463,29.76840496,5.619943619,41.86270714,10.02212763,7.133920431,0,1.459351063,0,3.391808629,260.2713097,61.8635402,11.43745155,2.159263587,16.0842573,3.850646327,2.740955366,0,0.560703776,0,1.303181911,61.65590642,11.39906382,2.15201641,16.03027341,3.837722331,2.731755846,0,0.558821876,0,1.298808017,99.6643681,22.51899189,26.21749463,48.73648652,46.20561205,53.79438795,8.623082965,10.0393318,61.7075089
sample_74,79975941736,3.30E+11,11.52,9692412444,40012728694,10.6,495556700.2,2045783329,9.31,8542972043,35267548154,10.55,4871016785,20108788623,10.3,651339288.4,2688893233,9.43,667913024.7,2757313806,9.44,7.44,188.1169281,73.17574692,20.54128075,72.06332016,24.30541134,20.02423286,3.388555646,6.44617939,0.870003313,1.957183361,410.8888418,45.78292447,17.8091346,4.999230608,17.53839794,5.915325233,4.87339417,0.824689138,1.568837781,0.211736904,0.476329158,52.9214968,20.58597328,5.778721428,20.27302277,6.837655502,5.633264299,0.953276447,1.813454352,0.244751379,0.550599428,115.5922157,21.37911234,30.47200188,51.85111422,41.23173178,58.76826822,6.014422182,8.57245526,71.86776473
sample_75,17258286315,3.84E+11,11.58,14432059.5,321348629.2,8.51,665151045.8,14810455624,10.17,1448703422,32257271294,10.51,336263766.6,7487351369,9.87,240187092.1,5348078892,9.73,749085.61,16679368.1,7.22,7.7,236.1018906,30.91256809,13.01541328,48.93252182,9.68909359,12.25550365,7.434216738,1.339028418,0,0,359.6802362,65.64216402,8.594458351,3.618606744,13.60445109,2.693807615,3.407333076,2.06689609,0.372283012,0,0,26.04931725,3.410609255,1.436001333,5.398765683,1.069005725,1.352159874,0.820223293,0.147736115,0,0,39.68381853,28.49569354,39.53460054,68.03029408,41.88677107,58.11322893,3.143953483,4.36188524,88.96691713
sample_76,25980741441,5.07E+11,11.7,4087675.99,79733727.03,7.9,3987920960,77787917075,10.89,6034378.22,117705871.7,8.07,2383476781,46491817680,10.67,2803875880,54692073054,10.74,766437636.4,14950042367,10.17,6.24,287.5436707,13.78005028,3.042381525,18.03161621,3.582854748,0,4.610133171,0.828773677,0,0,331.4194803,86.76124603,4.157887843,0.917985123,5.440723097,1.081063414,0,1.391026613,0.250067883,0,0,31.84311402,1.526028068,0.336918916,1.996854285,0.396771913,0,0.510534612,0.091779919,0,0,36.70200173,75.47668338,416.0382181,491.5149015,15.35592983,84.64407017,8.358426493,46.07283612,88.9258164
sample_77,1.55E+11,1.42E+12,12.15,127979882,1167199740,9.07,79458958696,7.25E+11,11.86,669208464.3,6103302592,9.79,32170382761,2.93E+11,11.47,54073841224,4.93E+11,11.69,2525465897,23032707115,10.36,7.58,292.2509766,46.23171043,28.48774433,53.9913044,20.78522968,10.18987942,19.23781586,1.659668922,0,0,472.8343296,61.80832446,9.777570608,6.024889173,11.41865153,4.39587999,2.155063366,4.068616564,0.35100432,0,0,45.66474679,7.223788864,4.451261879,8.436239539,3.247729952,1.592187198,3.005943727,0.259326288,0,0,73.88122423,23.50062999,51.82627875,75.32690874,31.19818719,68.80181281,3.672016191,8.097950342,84.37481807
sample_78,89941692410,4.72E+11,11.67,3065565360,16100159158,10.21,383232091.3,2012711177,9.3,11776228427,61848021388,10.79,8123247030,42662789634,10.63,4144006629,21764065824,10.34,1320174572,6933474979,9.84,5.99,357.1760559,56.39346123,4.974531889,138.3634338,7.115722418,8.95039463,0,1.870976806,0,0.71499747,575.5595742,62.05718259,9.798023308,0.864294873,24.039811,1.236313796,1.555077012,0,0.32507092,0,0.124226492,79.61653772,12.57041747,1.108850941,30.84198217,1.586134269,1.995092952,0,0.41705118,0,0.159376929,128.2954436,35.74698457,51.69697066,87.44395523,40.87988069,59.12011931,7.968202511,11.52354349,77.70944149
sample_79,1.42E+11,4.83E+11,11.68,6427494751,21932049711,10.34,2752616588,9392543468,9.97,6559365737,22382023008,10.35,32084486757,1.09E+11,11.04,19985431403,68194762031,10.83,10443084.27,35634139.29,7.55,6.74,183.7480774,32.43807602,3.399643779,30.97443581,5.756949425,4.196680307,0,0.401069194,0,1.097382128,262.0123141,70.12955785,12.38036317,1.297512978,11.82174812,2.197205672,1.601711096,0,0.153072651,0,0.418828456,59.93868119,10.5813107,1.10896488,10.1038708,1.87791873,1.368958449,0,0.130828898,0,0.357966399,85.46850005,41.71187343,61.69584235,103.4077158,40.33729312,59.66270686,13.60642636,20.12520336,67.37996825
sample_80,1.36E+11,3.07E+11,11.49,16420357461,36961346904,10.57,4594142978,10341170266,10.01,7287935041,16404752205,10.21,14474359162,32581008755,10.51,7473695818,16822889785,10.23,3967276364,8930127026,9.95,6.83,128.4316711,27.85931969,14.05692244,56.45106125,27.21316433,12.83244991,0,1.015238047,0,2.475044608,270.3348714,47.50836266,10.30548502,5.199818419,20.88190138,10.06646467,4.74687185,0,0.375548312,0,0.915547667,57.05673969,12.37671314,6.244893939,25.07881023,12.08965374,5.700912772,0,0.451027169,0,1.099557256,120.0983079,16.78749469,16.82428663,33.61178132,49.94526928,50.05473072,7.45797128,7.474316377,55.57424489
sample_81,38836843832,1.01E+11,11,131869810.9,343455433,8.54,112346513.9,292606930.2,8.47,9479822542,24690234501,10.39,827551432.1,2155360908,9.33,144486354.8,376315270.4,8.58,4061313.04,10577705.54,7.02,8.04,67.61848831,16.04277039,5.10970974,16.45973396,8.872119427,5.244304895,0,0,0,1.010238677,120.3573654,56.18142943,13.32928013,4.245448314,13.67571807,7.371480256,4.35727791,0,0,0,0.839365895,28.10859485,6.668882201,2.1240753,6.842211424,3.688086153,2.180025689,0,0,0,0.419950081,50.0318257,14.8206006,14.09194122,28.91254182,51.26010951,48.73989049,6.160833643,5.857934365,58.43060744
sample_82,89368206361,2.31E+11,11.36,51193270.62,132177324,8.12,1845428194,4764762194,9.68,24117655423,62270042857,10.79,2765189462,7139519298,9.85,494868315.7,1277714218,9.11,23411413.04,60446576.08,7.78,8.1,75.26902008,16.4210434,4.382746458,21.34748554,7.088874102,4.466600895,0,0.550761819,0,0.716478676,130.243011,57.79121621,12.60800351,3.365053085,16.39050371,5.442805759,3.429436145,0,0.422872456,0,0.550109115,31.72231163,6.92068869,1.847119157,8.996949715,2.987623236,1.882459814,0,0.232119909,0,0.301961681,54.89123384,16.49524223,11.36656006,27.86180229,59.20378753,40.79621247,6.951959967,4.79046439,57.85475672
sample_83,2.77E+11,7.73E+11,11.89,2772358543,7743732927,9.89,45266112392,1.26E+11,11.1,27171720382,75895863587,10.88,44761663380,1.25E+11,11.1,43727397635,1.22E+11,11.09,35897.49,100268.63,5,7.03,149.5826035,39.94109917,5.970438957,33.98445129,10.26086044,6.548741579,0,1.223170817,0.307661146,1.248929918,249.0679568,60.05694407,16.03622549,2.397112432,13.64465013,4.119703143,2.629299113,0,0.49109923,0.123524981,0.501441427,53.55254535,14.29944041,2.137495909,12.16688188,3.673523399,2.344535876,0,0.437911289,0.110146749,0.447133387,89.16961424,41.82323265,17.36648545,59.18971809,70.65962468,29.34037534,14.97326902,6.21743089,64.1986808
sample_84,71106118087,9.01E+11,11.95,4040660619,51220735642,10.71,4845637699,61424888401,10.79,2832568188,35906560838,10.56,9370374142,1.19E+11,11.07,742476768.4,9411878368,9.97,8705827.28,110357914.2,8.04,7.34,75.12352371,8.689268112,1.999856889,2.639003396,4.189061642,0,0,0.631119609,0.504406095,0.922780335,94.69901979,79.32872365,9.175668483,2.111803157,2.786727256,4.423553328,0,0,0.666447879,0.532641305,0.974434938,27.00864879,3.123993379,0.718994926,0.948782916,1.506064799,0,0,0.226902134,0.181345688,0.331760929,34.04649356,38.66848438,18.01843122,56.6869156,68.21412661,31.78587339,13.90221681,6.478043848,64.04768113
sample_86,52294483436,2.08E+11,11.32,11324048151,45104259584,10.65,3894895370,15513566305,10.19,5142859225,20484269793,10.31,2395207448,9540233055,9.98,2327306522,9269780214,9.97,3154244267,12563515302,10.1,6.32,243.2415543,32.25531578,4.089128494,85.26994324,6.644909143,0,0,0,0,0,371.5008509,65.47536936,8.68243389,1.100705014,22.95282582,1.788665928,0,0,0,0,0,69.88368465,9.267003422,1.174813107,24.49819004,1.909092944,0,0,0,0,0,106.7327841,37.56293298,60.55069171,98.11362469,38.2851343,61.7148657,10.79189027,17.39630984,71.26984127
sample_87,38535658834,81734868736,10.91,1651982008,3503885406,9.54,704705529.9,1494693895,9.17,3200648078,6788635733,9.83,8111947445,17205595536,10.24,983810274.7,2086680391,9.32,61018893.43,129422238.9,8.11,6.87,114.3986855,27.57913971,5.566429853,36.00438881,9.770333767,7.098994493,0,4.427736759,0,1.990353227,206.8360621,55.30886845,13.33381589,2.691227921,17.40721055,4.723709042,3.432184128,0,2.140698636,0,0.9622854,51.08533371,12.31560965,2.48571848,16.07794888,4.362993847,3.170093267,0,1.977229099,0,0.888802685,92.36372961,21.84964727,22.00871532,43.85836259,49.8186571,50.1813429,9.757074719,9.828107392,55.34447491
